,Product,Price,Quantity,Category
23,fila giotto stilnovo 36 pastelli colorati,13.99 € / pz,1.0 pz,articoli per la casa
24,balmar 2000 copertina per quaderno a4 rosso laccato 180μm,1.69 € / pz,1.0 pz,articoli per la casa
25,pilot 3800268 penna a sfera blu medio 6 pz,11.50 € / pz,1.0 pz,articoli per la casa
26,carrefour 10+10pz pile aa stilo,8.79 € / pz,1.0 pz,articoli per la casa
27,"carrefour adattatore con spina 10a 2p+t e presa 10-16a 2p+t (standard italiano 10a e tedesco 16a con terra laterale), imq, ce",2.39 € / pz,1.0 pz,articoli per la casa
28,pigna quaderno monocromo a4 quadretti 5mm per tutte le classi colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
29,blasetti colorclub ppl a4 quaderno a spirale 1r,3.19 € / pz,1.0 pz,articoli per la casa
30,carrefour simpl set padelle 20-24-28 cm antiaderente,14.90 € / pz,1.0 pz,articoli per la casa
31,save up led goccia 75w calda e27 3pz,8.49 € / pz,1.0 pz,articoli per la casa
32,pigna quaderno monocromo a4 righe classiche per medie/superiori colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
33,pigna quaderno monocromo a4 quadretti 4mm con margini per elementari/medie colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
34,pigna quaderno monocromo a4 righe c 4a/5a elementare colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
35,pigna quaderno monocromo a4 righe b 3a elementare colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
36,paperdream quaderno a spirale animal friends a4 rigatura 5m,3.99 € / pz,1.0 pz,articoli per la casa
37,paperdream quaderno a spirale animal friends a5 rigatura 5m,2.99 € / pz,1.0 pz,articoli per la casa
38,paperdream maxi quaderno animal friends a4 100gr rigatura 1r,2.49 € / pz,1.0 pz,articoli per la casa
39,paperdream quaderno a spirale animal friends a4 rigatura 1r,3.99 € / pz,1.0 pz,articoli per la casa
40,aeternum casseruola 2 manici madame petravera 20 cm,28.90 € / pz,1.0 pz,articoli per la casa
41,carrefour home bistecchiera quadrata 28x28 cm per induzione con rivestimento effetto pietra,26.90 € / pz,1.0 pz,articoli per la casa
42,oxford quaderno spiralato favorit a4 neon 5mm,5.99 € / pz,1.0 pz,articoli per la casa
43,"beurer ks 25 bilancia digitale da cucina con ciotola, nero, 22 x 15 x 5 cm",28.90 € / pz,1.0 pz,articoli per la casa
44,pigna quaderno monocromo a4 quadretti 4mm per elementari/medie colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
45,pigna quaderno monocromo a4 quadrettoni 10mm 1a elementare colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
46,pigna quaderno monocromo a4 righe a 1a/2a elementare colori assortiti,2.99 € / pz,1.0 pz,articoli per la casa
47,pattex millechiodi original blister 100g,6.99 € / pz,1.0 pz,articoli per la casa
48,so.di.fer forbici multifunzione da 210mm,5.99 € / pz,1.0 pz,articoli per la casa
49,bostik superchiaro 50 g,4.69 € / pz,1.0 pz,articoli per la casa
50,loctite kintsuglue bianco 3 x 5 g,6.99 € / pz,1.0 pz,articoli per la casa
51,carrefour 65 strumenti + borsa,34.90 € / pz,1.0 pz,articoli per la casa
52,so.di.fer spazzola a mano modello spid,3.99 € / pz,1.0 pz,articoli per la casa
53,so.di.fer cutter con lama a settori da 18mm con corpo in plastica,3.99 € / pz,1.0 pz,articoli per la casa
54,so.di.fer cacciavite plus pozidrive pz15x080,4.29 € / pz,1.0 pz,articoli per la casa
55,so.di.fer serie di 8 chiavi combinate in acciaio al carbonio,10.90 € / pz,1.0 pz,articoli per la casa
56,so.di.fer cutter con 3 lame a settori da 18mm interne con corpo in plastica,6.29 € / pz,1.0 pz,articoli per la casa
57,so.di.fer cutter con lama a settori da 9mm interna con corpo in plastica,3.99 € / pz,1.0 pz,articoli per la casa
58,so.di.fer cacciavite di precisione per viti con impronta a taglio e a croce phillips,4.49 € / pz,1.0 pz,articoli per la casa
59,so.di.fer pinza grip autobloccante regolabile in acciaio da 250mm,6.99 € / pz,1.0 pz,articoli per la casa
60,so.di.fer forbice plus elet inox mm145,10.50 € / pz,1.0 pz,articoli per la casa
61,"so.di.fer raschietto multiuso in plastica da 140mm, con lama",2.49 € / pz,1.0 pz,articoli per la casa
62,so.di.fer flessometro bicolore 5mt,9.99 € / pz,1.0 pz,articoli per la casa
63,so.di.fer guanto in poliestere puntinato in pvc,2.19 € / pz,1.0 pz,articoli per la casa
64,so.di.fer martello plus da banco 200gr,5.99 € / pz,1.0 pz,articoli per la casa
65,so.di.fer rotolo carta abrasiva 80gr,5.99 € / pz,1.0 pz,articoli per la casa
66,so.di.fer carta silicata 6 fogli assortiti,3.99 € / pz,1.0 pz,articoli per la casa
67,bostik super trasparente 50 g,5.99 € / pz,1.0 pz,articoli per la casa
68,bostik grizzly montage power 250 g,7.99 € / pz,1.0 pz,articoli per la casa
69,"stanley cassetta 16"" 40.6x20.5x19.5cm",16.90 € / pz,1.0 pz,articoli per la casa
70,pattex repair extreme 20g,9.99 € / pz,1.0 pz,articoli per la casa
71,duracell plus aa batterie stilo alcaline 1.5v lr06 mx1500 pile duracell confezione da 4 pile duracel,5.59 € / pz,1.0 pz,articoli per la casa
72,duracell plus aaa batterie ministilo alcaline 1.5v lr03 mn2400 confezione da 4 pile duracell,5.59 € / pz,1.0 pz,articoli per la casa
73,carrefour 10+10pz pile aaa ministilo,8.79 € / pz,1.0 pz,articoli per la casa
74,carrefour a4 carta inkjet a4 80g (210x297 mm) 500 fogli bianco,6.99 € / pz,1.0 pz,articoli per la casa
75,one day + igiene mascherine ffp2 colors blu 5 pz,2.50 € / pz,1.0 pz,articoli per la casa
76,5 mascherine ffp2/kn95,2.50 € / pz,1.0 pz,articoli per la casa
77,carrefour cartafotocopie a4 500 fogli 80 g/m²,5.99 € / pz,1.0 pz,articoli per la casa
78,carrefour contenitore ermetico,0.79 € / pz,1.0 pz,articoli per la casa
79,loctite super attak precision 5 g,5.79 € / pz,1.0 pz,articoli per la casa
80,poly pool adattatore multisize con spina 10a prese pluristandart bianco,6.99 € / pz,1.0 pz,articoli per la casa
81,philips led goccia filamento 120w e27 2700k,14.90 € / pz,1.0 pz,articoli per la casa
82,fabriano carta per fotocopie hyper white a4 80g/m² 500ff ppl,7.49 € / pz,1.0 pz,articoli per la casa
83,carrefour registratore protocollo dorso 8 oblò,3.29 € / pz,1.0 pz,articoli per la casa
84,opharm 10 mascherine ffp2 nere,5.00 € / pz,1.0 pz,articoli per la casa
85,carrefour 6 pile ministilo,3.99 € / pz,1.0 pz,articoli per la casa
86,opharm 10 mascherine ffp2 bianche,5.00 € / pz,1.0 pz,articoli per la casa
87,carrefour 4 pile lition cr2032,4.19 € / pz,1.0 pz,articoli per la casa
88,simpl 8 pile ministilo aaa,2.59 € / pz,1.0 pz,articoli per la casa
89,belli e forti frigobox frigobella quad 1lt,1.49 € / pz,1.0 pz,articoli per la casa
90,"poly pool adattatore multisize spina 10a, 1 presa 10/16a (standard italiano 10-16a e tedesco 16a 2p+t con terra laterale), 2 prese 10-16a, interruttore di sicurezza, ce",6.99 € / pz,1.0 pz,articoli per la casa
91,carrefour matite colorate,0.69 € / pz,1.0 pz,articoli per la casa
92,belli e forti frigobox frigobella rett 0.5lt,0.99 € / pz,1.0 pz,articoli per la casa
93,carrefour confezione 50 buste a perforazione universale alto spessore finitura liscia foglio di protezione 210 x 297 mm (a4) polipropilene (pp) 50 pz,4.79 € / pz,1.0 pz,articoli per la casa
94,post-it notes giallo 76 mm x 76 mm 100 foglietti 1 pz,1.99 € / pz,1.0 pz,articoli per la casa
95,carrefour nastro imballo avana 66x50,3.99 € / pz,1.0 pz,articoli per la casa
96,energizer max aa 4 pz,5.99 € / pz,1.0 pz,articoli per la casa
97,carrefour liquido lavavetro -10° pluristagionale,3.99 € / pz,1.0 pz,articoli per la casa
98,brita filtri per acqua maxtra+ pack 3 - per 3 mesi di filtrazione,24.90 € / pz,1.0 pz,articoli per la casa
99,"carrefour adattatore pluristandard con spina 16a 2p+t, 2 prese bivalenti 10/16a 2p+t e 1 presa 10-16a 2p+t (stand. italiano 10a e tedesco 16a con terra laterale),imq, ce",3.49 € / pz,1.0 pz,articoli per la casa
100,carrefour 12 pennarelli punta larga,2.99 € / pz,1.0 pz,articoli per la casa
101,wood living cucchiaio 35 cm in faggio,1.39 € / pz,1.0 pz,articoli per la casa
102,ghidini cipriano set 6 pz molle chiudisacchetto,2.69 € / pz,1.0 pz,articoli per la casa
103,fa.bo.ss bi-pack borse termiche in poliestere 24+7l,9.90 € / pz,1.0 pz,articoli per la casa
104,wood living forchetta 30 cm in faggio,1.39 € / pz,1.0 pz,articoli per la casa
105,bormioli rocco 2 tappi barattoli bormoli 70 mm,1.39 € / pz,1.0 pz,articoli per la casa
106,carrefour 48 etichette bianche 24x35mm,1.49 € / pz,1.0 pz,articoli per la casa
107,rhütten additivo adblue 5l,11.90 € / pz,1.0 pz,articoli per la casa
108,carrefour 6 pile stilo,3.99 € / pz,1.0 pz,articoli per la casa
109,kaimano coltello speciale bistecca cm 11.5 marrone 6 pz,9.49 € / pz,1.0 pz,articoli per la casa
110,kinzo feltrini,0.79 € / pz,1.0 pz,articoli per la casa
111,"heidrun 1806 contenitore da cucina set di contenitori universali 0,9 l",3.99 € / pz,1.0 pz,articoli per la casa
112,simpl 8 pile stilo aa,2.59 € / pz,1.0 pz,articoli per la casa
113,arexons olio motore arx 5w30,39.90 € / pz,1.0 pz,articoli per la casa
114,carrefour 18 etichette bianche,1.49 € / pz,1.0 pz,articoli per la casa
115,loctite super attak original plus 3 g,4.19 € / pz,1.0 pz,articoli per la casa
116,bic mega lighter happy,5.19 € / pz,1.0 pz,articoli per la casa
117,philips led candela vetro 25w e14 2700k,5.99 € / pz,1.0 pz,articoli per la casa
118,hp confezione da 2 cartucce d'inchiostro nero/tricromia originali 302,43.99 € / pz,1.0 pz,articoli per la casa
119,"scotch crystal 19 mm x 7,5 m",1.75 € / pz,1.0 pz,articoli per la casa
120,hp cartuccia originale inchiostro nero 301,22.99 € / pz,1.0 pz,articoli per la casa
121,bic slim 2 accendini,2.99 € / pz,1.0 pz,articoli per la casa
122,energizer 2032 lithium 2 pz,3.99 € / pz,1.0 pz,articoli per la casa
123,philips led goccia vetro 75w e27 2700k,7.99 € / pz,1.0 pz,articoli per la casa
124,fackelmann forbici cucina in acciaio inox-idonee anche per mancini,8.90 € / pz,1.0 pz,articoli per la casa
125,"carrefour adattatore pluristandard con spina 10a 2p+t, 2 prese 10a 2p+t e 1 presa 10-16a 2p+t(standard italiano 10a e tedesco 16a con terra laterale), imq, ce",3.49 € / pz,1.0 pz,articoli per la casa
126,"poly pool presa multipla con 4 uscite bivalenti 10/16a 2p+t, 2 uscite 10-16a 2p+t (st. italiano10/16a e tedesco 16a con terra laterale) e con interruttore luminoso, 1,5m cavo h05vv-f 3x1mmq con spina 16a 2p+t, csv-imq, ce",9.99 € / pz,1.0 pz,articoli per la casa
127,50 mascherine chirurgiche,6.00 € / pz,1.0 pz,articoli per la casa
128,bialetti grill 14x14 petravera,11.90 € / pz,1.0 pz,articoli per la casa
129,giotto stilnovo pastelli colorati in astuccio 24 colori,9.49 € / pz,1.0 pz,articoli per la casa
130,loctite super attak comfort gel 3g,5.29 € / pz,1.0 pz,articoli per la casa
131,energizer max aaa 8 pz,6.49 € / pz,1.0 pz,articoli per la casa
132,carioca tita 24 pastelli colorati,4.99 € / pz,1.0 pz,articoli per la casa
133,philips led faretto in vetro 35w gu10 2700k gu10,5.99 € / pz,1.0 pz,articoli per la casa
134,philips led goccia vetro 100w e27 2700k,10.90 € / pz,1.0 pz,articoli per la casa
135,blasetti colorclub ppl a4 quaderno a spirale 5m,3.19 € / pz,1.0 pz,articoli per la casa
136,carrefour torre 5 nastri adesivi,1.59 € / pz,1.0 pz,articoli per la casa
137,so.di.fer scopino con fiocco per wc,2.29 € / pz,1.0 pz,articoli per la casa
138,balmar 2000 copertina per quaderno a4 blu laccato 180μm,1.69 € / pz,1.0 pz,articoli per la casa
139,carrefour penne correttori 3 pezzi,4.19 € / pz,1.0 pz,articoli per la casa
140,pritt colla stick 22g - bl 2pz,5.99 € / pz,1.0 pz,articoli per la casa
141,carrefour 6 pile i-tech ministilo aaa,5.19 € / pz,1.0 pz,articoli per la casa
142,carrefour set coltelli bistecca 6 pz,2.59 € / pz,1.0 pz,articoli per la casa
143,simpl led goccia 60w e27 ww,1.99 € / pz,1.0 pz,articoli per la casa
144,simpl led candela 40w e14 ww,1.99 € / pz,1.0 pz,articoli per la casa
145,simpl led sferica 40w e27 ww,1.99 € / pz,1.0 pz,articoli per la casa
146,carrefour colla stick,0.79 € / pz,1.0 pz,articoli per la casa
147,duracell mn21 batteria alcalina specialistica 12v confezione da 2 a23 23a v23ga lrv08 8lr932,4.69 € / pz,1.0 pz,articoli per la casa
148,duracell 2032 batteria bottone al litio specialistica 3v pacco da 4 pile con tecnologia baby secure,7.59 € / pz,1.0 pz,articoli per la casa
149,belli e forti frigobox frigobella rett 1lt,1.49 € / pz,1.0 pz,articoli per la casa
150,fila giotto turbo maxi 12 pennarelli - diametro punta 5mm,4.99 € / pz,1.0 pz,articoli per la casa
151,"fackelmann colino in acciaio inox 18/10, ø 10.5 cm",4.90 € / pz,1.0 pz,articoli per la casa
152,carrefour contenitore per alimenti,2.99 € / pz,1.0 pz,articoli per la casa
153,"heidrun 1809 contenitore da cucina set di contenitori universali 1,2 l",4.49 € / pz,1.0 pz,articoli per la casa
154,tex home telo mare microfibra maxi tex,15.99 € / pz,1.0 pz,articoli per la casa
155,"fila astuccio 24 giotto turbo color - diametro punta 2,8mm",3.99 € / pz,1.0 pz,articoli per la casa
156,arexons svitol technik casa nuovo erogatore,6.99 € / pz,1.0 pz,articoli per la casa
157,fabriano blocco da disegno 20fg. f4 24x33cm liscio,6.69 € / pz,1.0 pz,articoli per la casa
158,loctite super attak easy brush 5 g,6.49 € / pz,1.0 pz,articoli per la casa
159,pilot gomma remover per inchiostro frixion,2.79 € / pz,1.0 pz,articoli per la casa
160,carrefour 52130 nastro adesivo adatto per uso interno adatto per uso esterno 45 m trasparente,1.00 € / pz,1.0 pz,articoli per la casa
161,energizer max aa alkaline 8 pz,6.49 € / pz,1.0 pz,articoli per la casa
162,carrefour 4 evidenziatori pocket fluo,2.79 € / pz,1.0 pz,articoli per la casa
163,uhu patafix gommini adesivi 80 pz,3.79 € / pz,1.0 pz,articoli per la casa
164,scotch nastro trasparente 15 mm x 33 m 4 pz,3.85 € / pz,1.0 pz,articoli per la casa
165,pilot 3 ricariche refill frixion rosso,6.29 € / pz,1.0 pz,articoli per la casa
166,duracell optimum aa batterie stilo alcaline 1.5 v lr06 mx1500 confezione da 4 pile duracell,6.69 € / pz,1.0 pz,articoli per la casa
167,carrefour home contenitore rettangolare 680 ml,3.49 € / pz,1.0 pz,articoli per la casa
168,"pritt correttore roller compact 4,2mm bl2",7.69 € / pz,1.0 pz,articoli per la casa
169,"stabilo evidenziatore - boss original pastel - astuccio da 4 - rosso corallo, fior di ciliegio, azzurro nuvola, lime",5.95 € / pz,1.0 pz,articoli per la casa
170,duracell optimum aaa batterie stilo alcaline 1.5 v lr03 mx2400 confezione da 8 pile duracell,11.20 € / pz,1.0 pz,articoli per la casa
171,carrefour nastro adesivo 25mx19mm con supporto,2.49 € / pz,1.0 pz,articoli per la casa
172,carioca 24 pennarelli colori assortiti,3.99 € / pz,1.0 pz,articoli per la casa
173,carrefour shopper diversity in cotone fairtrade quadri e fiori 41x45 cm,2.50 € / pz,1.0 pz,articoli per la casa
174,pritt correttore roller mini (glitter version) bl1,3.39 € / pz,1.0 pz,articoli per la casa
175,uhu attaccatutto extra gel 20 ml,3.29 € / pz,1.0 pz,articoli per la casa
176,carrefour nastro adesivo marrone 66 m,4.49 € / pz,1.0 pz,articoli per la casa
177,bostik super control istantaneo 3 g,3.49 € / pz,1.0 pz,articoli per la casa
178,"bic cristal original, penne nere a sfera (punta 1mm), confezione da 10",4.19 € / pz,1.0 pz,articoli per la casa
179,bic marking 2000 permanent marker 1.7 mm 1 nero,1.89 € / pz,1.0 pz,articoli per la casa
180,"carrefour 3 led sferica 40w, attacco e14, luce calda",7.99 € / pz,1.0 pz,articoli per la casa
181,carrefour nastro imballo trasparente 66x50,3.99 € / pz,1.0 pz,articoli per la casa
182,carrefour stampo plumcake 25 cm,4.59 € / pz,1.0 pz,articoli per la casa
183,bluesky frullatore .bbl500-2,16.90 € / pz,1.0 pz,articoli per la casa
184,energizer max aaa 4 pz,5.99 € / pz,1.0 pz,articoli per la casa
185,carrefour temperini 2 pezzi,1.29 € / pz,1.0 pz,articoli per la casa
186,fabriano disegno arcobaleno 10 fogli 5 colori 24x33 cm liscio,3.29 € / pz,1.0 pz,articoli per la casa
187,bostik super glue istantaneo 3 g,1.19 € / pz,1.0 pz,articoli per la casa
188,duracell plus aa batterie stilo alcaline confezione da 12 1.5v lr06 mx1500 pile duracell,13.40 € / pz,1.0 pz,articoli per la casa
189,bostik silicone universale trasparente 280 ml,6.99 € / pz,1.0 pz,articoli per la casa
190,bostik silicone universale bianco 280 ml,6.99 € / pz,1.0 pz,articoli per la casa
191,"heidrun 1808 contenitore da cucina set di contenitori universali 1,2 l",3.99 € / pz,1.0 pz,articoli per la casa
192,"giotto scatola 12 tempere 7,5 ml",11.59 € / pz,1.0 pz,articoli per la casa
193,carrefour 2 1/2 torcia i-tech,3.49 € / pz,1.0 pz,articoli per la casa
194,carrefour 4 pile alcaline lr44,2.05 € / pz,1.0 pz,articoli per la casa
195,wood living spatola curva 30 cm in faggio,1.39 € / pz,1.0 pz,articoli per la casa
196,carrefour 259112 ct00683 carta inkjet a4 (210x297 mm) 500 fogli bianco,7.49 € / pz,1.0 pz,articoli per la casa
197,aeternum padella madame petravera 24 cm,26.90 € / pz,1.0 pz,articoli per la casa
198,fackelmann appendistrofinacci,1.49 € / pz,1.0 pz,articoli per la casa
199,fackelmann pelapatate a y,2.49 € / pz,1.0 pz,articoli per la casa
200,fackelmann tappo versatore,2.49 € / pz,1.0 pz,articoli per la casa
201,fackelmann ganci quadrati in acciaio,2.49 € / pz,1.0 pz,articoli per la casa
202,fackelmann grattugia da tavolo,3.99 € / pz,1.0 pz,articoli per la casa
203,fackelmann cavatappi a leva,5.19 € / pz,1.0 pz,articoli per la casa
204,carrefour nastro isolante 10x15,2.99 € / pz,1.0 pz,articoli per la casa
205,dcg eltronic pwc8052 bilancia da cucina multicolore bilancia da cucina elettronica,10.00 € / pz,1.0 pz,articoli per la casa
206,pentel roller energel x a scatto 0.7 mm nero 1 pz,2.59 € / pz,1.0 pz,articoli per la casa
207,aeternum piastra crepiere madame petravera 28 cm,32.90 € / pz,1.0 pz,articoli per la casa
208,energizer max plus aaa mini stilo 6 pz,6.79 € / pz,1.0 pz,articoli per la casa
209,simpl 3 taglierini,1.49 € / pz,1.0 pz,articoli per la casa
210,10 mascherine chirurgiche,1.50 € / pz,1.0 pz,articoli per la casa
211,pilot 3 refill blu frixion ricariche cancellabili,6.29 € / pz,1.0 pz,articoli per la casa
212,carrefour set 3 casseruole blu 16-18-20,29.90 € / pz,1.0 pz,articoli per la casa
213,carrefour gomma per cancellare,1.19 € / pz,1.0 pz,articoli per la casa
214,fabriano blocco da disegno 20fg. f4 24x33cm riquadrati,6.69 € / pz,1.0 pz,articoli per la casa
215,staedtler mars 2 gomme plastic,3.19 € / pz,1.0 pz,articoli per la casa
216,staedtler 6 matite noris hb,0.27 € / pz,20.0 pz,articoli per la casa
217,pilot penna a sfera frixion ball cancellabile nero,4.29 € / pz,1.0 pz,articoli per la casa
218,moneta etnea padella cm ø 26,20.90 € / pz,1.0 pz,articoli per la casa
219,"post-it index 4 x 35 segnapagina 11,9 mm x 43,1 mm",5.69 € / pz,1.0 pz,articoli per la casa
220,pilot 3 refill frixion ricariche cancellabili nero,6.29 € / pz,1.0 pz,articoli per la casa
221,carrefour 1 penna cancellabile verde,2.49 € / pz,1.0 pz,articoli per la casa
222,pilot ricariche refill frixion per penna a sfera colori assortiti,12.99 € / pz,1.0 pz,articoli per la casa
223,pigna 3 blocchi a5 mont blanc a5 da 70 fogli,3.79 € / pz,1.0 pz,articoli per la casa
224,"braun multiquick 1 mq 100 frullatore ad immersione 450 w verde, bianco",14.90 € / pz,1.0 pz,articoli per la casa
225,pilot penna a sfera frixion ball cancellabile blu,4.29 € / pz,1.0 pz,articoli per la casa
226,pritt colla stick 22g - bl 3+1 gratis,8.19 € / pz,1.0 pz,articoli per la casa
227,"elba 400052116 cartella polipropilene (pp) nero, blu, verde, arancione, rosa, porpora, trasparente a4",4.99 € / pz,1.0 pz,articoli per la casa
228,mitama registratore protocollo color touch assortito,6.49 € / pz,1.0 pz,articoli per la casa
229,pigna blocco pignastyl a spirale 8x12 cm 60 fogli 80 gr,1.69 € / pz,1.0 pz,articoli per la casa
230,"bic cristal original, penne blu a sfera (punta 1mm), confezione da 10",4.19 € / pz,1.0 pz,articoli per la casa
231,stabilo evidenziatore - boss original - eco pack da 4 - colori assortiti,5.95 € / pz,1.0 pz,articoli per la casa
232,pritt correttore pocket pen 8ml - bl 2+2 gratis,5.79 € / pz,1.0 pz,articoli per la casa
233,pritt colla stick 11g bl 3+2pz gratis,6.15 € / pz,1.0 pz,articoli per la casa
234,philips led goccia vetro 100w e27 4000k,10.90 € / pz,1.0 pz,articoli per la casa
235,duracell optimum aaa batterie stilo alcaline 1.5 v lr03 mx2400 confezione da 4 pile duracell,6.69 € / pz,1.0 pz,articoli per la casa
236,vacu vin levatappi 2 leve,12.49 € / pz,1.0 pz,articoli per la casa
237,scotch colla stick 4 x 8 g,4.19 € / pz,1.0 pz,articoli per la casa
238,"philips awp2935wh/10 filtraggio acqua caraffa filtrante 2,6 l trasparente, bianco",14.90 € / pz,1.0 pz,articoli per la casa
239,balmar 2000 copertina per quaderno a4 verde chiaro laccato 180μm,1.69 € / pz,1.0 pz,articoli per la casa
240,maped temperamatite 2 fori,3.49 € / pz,1.0 pz,articoli per la casa
241,scotch nastro trasparente 15 mm x 66 m 1 pz,2.95 € / pz,1.0 pz,articoli per la casa
242,"bic cristal large nero 1,6 mm 5 pz",2.29 € / pz,1.0 pz,articoli per la casa
243,fila evidenziatore arancione,1.35 € / pz,1.0 pz,articoli per la casa
244,carioca 18 matite colori assortiti,3.99 € / pz,1.0 pz,articoli per la casa
245,loctite super attak power flex gel 3 g,4.99 € / pz,1.0 pz,articoli per la casa
246,metaltex frangifiamma 21 cm,2.99 € / pz,1.0 pz,articoli per la casa
247,"snips porta yogurt refrigerato con ghiaccio 0,5 lt",5.90 € / pz,1.0 pz,articoli per la casa
248,pigna cartella a 3 lembi nature flower,3.99 € / pz,1.0 pz,articoli per la casa
249,pigna blocco pignastyl a spirale a5 60 fogli,4.49 € / pz,1.0 pz,articoli per la casa
250,brita filtri per acqua microdisc pack 3 - per 3 mesi di filtrazione,14.99 € / pz,1.0 pz,articoli per la casa
251,hp cartuccia originale inchiostro nero 302,20.99 € / pz,1.0 pz,articoli per la casa
252,hp cartuccia originale inchiostro nero ad alta capacità 302xl,41.99 € / pz,1.0 pz,articoli per la casa
253,hp cartuccia di inchiostro nero originale 303,19.99 € / pz,1.0 pz,articoli per la casa
254,alluflon coperchio vetro 28 cm,9.09 € / pz,1.0 pz,articoli per la casa
255,"pattex millechiodi nastro biadesivo 19mm 1,5 m",7.99 € / pz,1.0 pz,articoli per la casa
256,bormioli rocco vaso vetro fido con tappo ermetico rettangolare 1 lt,4.99 € / pz,1.0 pz,articoli per la casa
257,balmar 2000 coprimaxi colibri copertina per quaderno a4 in polietilene trasparente con etichetta portanome,1.69 € / pz,1.0 pz,articoli per la casa
258,"carrefour confezione 3 penne cancellabili blu, nera, rossa",4.99 € / pz,1.0 pz,articoli per la casa
259,"scotch magic tape 19 mm x 7,5 m",2.25 € / pz,1.0 pz,articoli per la casa
260,"carrefour 2 led sfer con filmaneti 60w, attacco e27, luce calda",5.99 € / pz,1.0 pz,articoli per la casa
261,carrefour teglia per pasticceria cm 24x24,5.90 € / pz,1.0 pz,articoli per la casa
262,simpl 3 nastri imballo avana,6.99 € / pz,1.0 pz,articoli per la casa
263,simpl 6 pile mezza torcia lr14/c,4.19 € / pz,1.0 pz,articoli per la casa
264,"carrefour led goccia con filamenti 100w, attacco e27, luce calda",6.49 € / pz,1.0 pz,articoli per la casa
265,"carrefour 3 led sferica 40w, attacco e14, luce fredda",7.99 € / pz,1.0 pz,articoli per la casa
266,"carrefour 2 led capsula 35w, attacco g9, luce calda",6.99 € / pz,1.0 pz,articoli per la casa
267,alpina contenitore per alimenti,1.29 € / pz,1.0 pz,articoli per la casa
268,carrefour nastro riparazione grigio 25x50,5.99 € / pz,1.0 pz,articoli per la casa
269,carrefour nastro riparazione nero 25x50,5.99 € / pz,1.0 pz,articoli per la casa
270,philips ricarica co2 60lt,9.90 € / pz,1.0 pz,articoli per la casa
271,simpl led candela 40w e14 cw,1.99 € / pz,1.0 pz,articoli per la casa
272,simpl led sferica 40w e14 ww,1.99 € / pz,1.0 pz,articoli per la casa
273,energizer 2032 lithium 4 pz,6.69 € / pz,1.0 pz,articoli per la casa
274,fackelmann colino ø15 cm,5.90 € / pz,1.0 pz,articoli per la casa
275,bic 4 colours fluo,4.49 € / pz,1.0 pz,articoli per la casa
