,Product,Unit Price
91,"Plasmon Spremi, Gusta e Riciclami 100% Pera 100 g","€ 9,50 alkg/100.0 g"
92,Plasmon 100% Frutta Mela 100 g,"€ 9,50 alkg/100.0 g"
93,Humana Probalance 2 Latte di proseguimento 470 ml,"€ 4,47 all/470.0 ml"
94,Mellin 100% Frutta con Carota e Vitamina C Fragola e Kiwi 90 g,"€ 8,78 alkg/90.0 g"
95,Plasmon il Biscotto 720 g,"€ 9,71 alkg/720.0 g"
96,"Plasmon Spremi, Gusta e Riciclami 100% Mela e Mirtillo 100 g","€ 9,50 alkg/100.0 g"
97,Mellin Vitello 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
98,Mellin Manzo 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
99,Pampers Baby-dry Fresh Salviette 70 pz,"€ 0,03 alpz/70.0 pz"
100,Mellin Pollo 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
101,Fresh & Clean baby comfort Salviettine 72 pz,"€ 0,05 alpz/72.0 pz"
102,Mellin Coniglio 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
103,APTAMIL Nutribiotik 3 Latte di Crescita 1L,"€ 1,89 all/1000.0 ml"
104,Mellin Pera 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
105,Mellin Prosciutto* 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
106,Mellin Tacchino 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
107,Mellin Frutta Mista 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
108,NESTLÉ NIDINA Optipro 1 dalla nascita Latte per lattanti in liquido brick da 500ml,"€ 5,30 all/500.0 ml"
109,Mellin Verdure Miste 100% Naturale Omogeneizzato 2 x 80 g,"€ 8,69 alkg/160.0 g"
110,Humana Probalance Piccoli Eroi 3 Latte di crescita 470 ml,"€ 3,09 all/470.0 ml"
111,Mellin 100% Pera con Vitamina C 90 g,"€ 8,78 alkg/90.0 g"
112,Mellin 100% Mela con Vitamina C 90 g,"€ 8,78 alkg/90.0 g"
113,Mellin Agnello 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
114,Mellin Primo Sugo Ragù di Vitello 2 x 80 g,"€ 11,19 alkg/160.0 g"
115,Mellin Mela Albicocca 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
116,Plasmon la Pastina maccheroncini 340 g,"€ 5,26 alkg/340.0 g"
117,Plasmon la Pastina Stelline 340 g,"€ 5,26 alkg/340.0 g"
118,Plasmon il Biscotto 320 g,"€ 11,22 alkg/320.0 g"
119,Mellin Mela 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
120,Mellin Cavallo e Patate 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
121,Plasmon la Merenda dei bambini Latte e Biscotto 2 x 120 g,"€ 7,08 alkg/240.0 g"
122,NESTLÉ MIO Merenda al Latte Cereali da 6 mesi 4 vasetti da 100 g,"€ 6,13 alkg/400.0 g"
123,Plasmon Prugna Omogeneizzato 2 x 104 g,"€ 7,93 alkg/208.0 g"
124,Pampers Sole e Luna Salviette 60 pz,"€ 0,03 alpz/60.0 pz"
125,Mellin Pesca con Mela 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
126,MELLIN 3 - Latte di Crescita Liquido per Bambini da 1 a 2 anni 1L,"€ 2,30 all/1000.0 ml"
127,"Mellin Pappa Completa Verdure, Semolino e Pollo 2 x 200 g","€ 7,73 alkg/400.0 g"
128,Plasmon Omogeneizzato Orata con patate 2 x 80 g,"€ 15,56 alkg/160.0 g"
129,Plasmon Omogeneizzato Manzo con cereale 2 x 80 g,"€ 15,63 alkg/160.0 g"
130,Mellin Crema di Riso 200 g,"€ 9,45 alkg/200.0 g"
131,Plasmon la Pastina Anellini 340 g,"€ 5,26 alkg/340.0 g"
132,Mellin Crema Mais e Tapioca 200 g,"€ 9,45 alkg/200.0 g"
133,Plasmon la Pastina chioccioline 340 g,"€ 5,26 alkg/340.0 g"
134,HiPP Biologico Frutta Frullata & Yogurt Mela e frutti rossi 90 g,"€ 18,33 alkg/90.0 g"
135,Plasmon la Pastina Gemmine 340 g,"€ 5,26 alkg/340.0 g"
136,HiPP Biologico Mela e yogurt Omogeneizzato 2 x 125 g,"€ 8,36 alkg/250.0 g"
137,Mellin Mela Mirtilli 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
138,Plasmon Omogeneizzato Carote Patate e Zucchine 2 x 80 g,"€ 10,31 alkg/160.0 g"
139,HiPP Biologico Pera e yogurt Omogeneizzato 2 x 125 g,"€ 8,36 alkg/250.0 g"
140,HiPP Biologico Mela e banana Omogeneizzato 2 x 80 g,"€ 13,06 alkg/160.0 g"
141,Fresh & Clean baby pediatric Salviettine 72 pz,"€ 0,05 alpz/72.0 pz"
142,Mellin Prugna con Mela 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
143,Mellin Pastina Stelline 320 g,"€ 3,91 alkg/320.0 g"
144,Mellin Semolino 200 g,"€ 9,45 alkg/200.0 g"
145,Pampers Acqua Pura Salviette 156 pz,"€ 0,05 alpz/156.0 pz"
146,HiPP Biologico Baby Soffi di cereali 30 g,"€ 45,00 alkg/30.0 g"
147,Plasmon 4 Frutti Omogeneizzato 2 x 104 g,"€ 7,93 alkg/208.0 g"
148,NESTLÉ NIDINA Optipro 2 da 6 mesi Latte di proseguimento liquido 500ml,"€ 3,70 all/500.0 ml"
149,NESTLÉ MIO Merenda al Latte Biscotto da 6 mesi 4 vasetti da 100 g,"€ 6,13 alkg/400.0 g"
150,Carrefour Baby Bio Salviette bimbo senza profumo 64 pz,"€ 0,05 alpz/64.0 pz"
151,Mellin Banana Kiwi 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
152,milmil Baby Pures Salviette Bimbo Delicate 72 pz,"€ 0,03 alpz/72.0 pz"
153,Mellin Biscotto 8 x 45 g,"€ 7,64 alkg/360.0 g"
154,Plasmon Omogeneizzato Salmone con patate 2 x 80 g,"€ 15,56 alkg/160.0 g"
155,Carrefour Baby Sensitive 0% Perfume* 72 pz,"€ 0,03 alpz/72.0 pz"
156,HiPP Biologico Baby Sugo Pomodoro e Mozzarella Omogeneizzato 2 x 80 g,"€ 15,50 alkg/180.0 g"
157,Mellin Primo Sugo Pomodoro e Verdure 2 x 80 g,"€ 11,19 alkg/160.0 g"
158,Fissan la Pasta Alta Protezione 100 g,"€ 56,90 alkg/100.0 g"
159,Fria Easy Baby 110 pz,"€ 0,02 alpz/110.0 pz"
160,Plasmon Omogeneizzato Platessa con patate 2 x 80 g,"€ 15,56 alkg/160.0 g"
161,Plasmon Omogeneizzato Vitello Prosciutto* con cereale 2 x 80 g,"€ 15,63 alkg/160.0 g"
162,Plasmon Pera Omogeneizzato 2 x 104 g,"€ 7,93 alkg/208.0 g"
163,Plasmon Primi Mesi Biscottino Granulato senza glutine 2 x 374 g,"€ 6,60 alkg/680.0 g"
164,Humana 3 Latte di crescita 800 g,"€ 16,13 alkg/800.0 g"
165,"Johnson's Baby Olio Aloe Vera, Testato Da Pediatri E Dermatologi, 300ml","€ 7,97 all/300.0 ml"
166,HiPP Biologico Mela e Pera Omogeneizzato 2 x 80 g,"€ 14,06 alkg/160.0 g"
167,Plasmon Omogeneizzato Agnello con cereale 2 x 80 g,"€ 15,63 alkg/160.0 g"
168,HiPP Biologico Frutta Frullata Mela 90 g,"€ 18,33 alkg/90.0 g"
169,Carrefour Baby Ultra Dry Pannolini 4 Midi 8-16 kg 45 pz,"€ 0,14 alpz/46.0 pz"
170,Plasmon la Pastina Sabbiolina 320 g,"€ 5,59 alkg/320.0 g"
171,NESTLÉ MIO Merenda al Latte Cacao da 8 mesi 4 vasetti da 100 g,"€ 6,13 alkg/400.0 g"
172,Mellin Maiale e Verdure 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
173,HiPP Merluzzo con patate e carote Omogeneizzato 2 x 80 g,"€ 18,44 alkg/160.0 g"
174,Mellin Crema Multicereali 200 g,"€ 9,45 alkg/200.0 g"
175,Carrefour Baby Soluzione Fisiologica 40 x 5 ml,"€ 20,45 all/200.0 ml"
176,MELLIN 2 - Latte di Proseguimento Liquido per Lattanti dal 6° al 12° mese 4x500ml,"€ 3,20 all/2000.0 ml"
177,Mandine Microonde MMO23DH-17,"€ 59,90 alpz/1.0 pz"
178,De’Longhi Macchina automatica per caffè in chicchi,"€ 279,00 alpz/1.0 pz"
179,Bluesky Robot da cucina BFP750-16,"€ 34,90 alpz/1.0 pz"
180,Tefal Friggitrice Easy Pro Premium FR3380 Singolo 3L Indipendente 2200W Acciaio inossidabile,"€ 49,90 alpz/1.0 pz"
181,"Lavazza LM800 Tiny Automatica/Manuale Macchina per caffè a capsule 0,75 L","€ 89,90 alpz/1.0 pz"
182,"Telefunken Friggitrice Ad Aria 2,5Lt","€ 39,90 alpz/1.0 pz"
183,Mandine Macchina per il pane MBM450-18 Acciaio inox/Nero,"€ 59,90 alpz/1.0 pz"
184,Moulinex Fornetto Optimo 33L 1600 W,"€ 169,00 alpz/1.0 pz"
185,"Lavazza Jolie Automatica/Manuale Macchina per caffè a capsule 0,6 L","€ 119,00 alpz/1.0 pz"
186,Mandine Plancha Elettrica Bamboo,"€ 39,90 alpz/1.0 pz"
187,Mandine Microonde Sin Grill MMOR20M,"€ 59,90 alpz/1.0 pz"
188,Philips Essential HD9200/90 Airfryer L - 4 porzioni,"€ 134,00 alpz/1.0 pz"
189,Xiaomi Mi Smart friggitrice ad aria 3.5L,"€ 89,00 alpz/1.0 pz"
190,"Moulinex OX4648 Optimo Forno Elettrico con Capacità di 33 L, Potenza 1600 W 28x31x36cm","€ 169,00 alpz/1.0 pz"
191,"De’Longhi Magnifica S ECAM 21.117.SB Automatica Macchina per espresso 1,8 L","€ 319,00 alpz/1.0 pz"
192,Toshiba Microonde 20l Tmo20mm,"€ 79,90 alpz/1.0 pz"
193,"Ariete Robot da cucina 2945 5 L 1900 W Argento, Bianco","€ 139,00 alpz/1.0 pz"
194,Mandine Macchina del caffè americana,"€ 64,90 alpz/1.0 pz"
195,Samsung Microonde Combinato Cottura Ventilata 28L MC2BH5015AW,"€ 149,00 alpz/1.0 pz"
196,"De’Longhi BQ 60.X barbecue per l'aperto e bistecchiera Grill Da tavolo Elettrico Nero, Grigio 1900 W","€ 159,00 alpz/1.0 pz"
197,"Moulinex AF179D10 Uno L Metal, 1900 W, 2.1 Litri, Acciaio Inossidabile, Nero/Grigio","€ 99,90 alpz/1.0 pz"
198,Macom Cappuccinatore Montascalda Latte Elettrico,"€ 45,90 alpz/1.0 pz"
199,"Kenwood FDP302SI robot da cucina 800 W 2,1 L Argento","€ 119,00 alpz/1.0 pz"
200,"Sharp Home Appliances R-752IN forno a microonde Superficie piana Microonde combinato 25 L 900 W Nero, Argento","€ 149,00 alpz/1.0 pz"
201,Mandine Microonde Grill MMG20DABM-22,"€ 69,90 alpz/1.0 pz"
202,"Lavazza LM 840 Tiny Eco Automatica/Manuale Macchina per caffè a capsule 0,6 L","€ 89,90 alpz/1.0 pz"
203,Bialetti Macchina Del Caffe' Gioia,"€ 79,90 alpz/1.0 pz"
204,Bluesky COFFEE MAKER BCM125B-23,"€ 16,90 alpz/1.0 pz"
205,Samsung Microonde Combinato Cottura Ventilata 28L MC28H5015AW,"€ 159,00 alpz/1.0 pz"
206,De’Longhi Nescafé Dolce Gusto GENIO S EDG225.W - Bianco,"€ 89,90 alpz/1.0 pz"
207,Impastatrice Mandine MSM1000,"€ 99,90 alpz/1.0 pz"
208,Philips Essential HD9270/70 Airfryer XL - 5 porzioni,"€ 199,00 alpz/1.0 pz"
209,"Bialetti Gioia Automatica Macchina per espresso 0,5 L","€ 59,90 alpz/1.0 pz"
210,"De’Longhi ECAM13.123.W macchina per caffè Automatica Macchina da caffè con filtro 1,8 L","€ 499,00 alpz/1.0 pz"
211,Samsung Microonde Grill Cottura Sana 23L MG2AF301TCK,"€ 199,00 alpz/1.0 pz"
212,Lavazza MilkEasy Schiumatore per latte automatico Nero,"€ 69,90 alpz/1.0 pz"
213,Sharp YC-MG01E-B forno a microonde Superficie piana Microonde combinato 20 L 800 W Nero,"€ 89,90 alpz/1.0 pz"
214,Philips Essential HD9200/90 Airfryer L - 4 porzioni,"€ 134,00 alpz/1.0 pz"
215,"Kenwood MultiPro Compact robot da cucina 800 W 1,2 L Bianco","€ 99,90 alpz/1.0 pz"
216,"De’Longhi EO 20792 fornetto con tostapane 20 L Nero, Argento Grill 700W","€ 179,00 alpz/1.0 pz"
217,Mandine Friggitrice Ad Aria 3.5L Digital,"€ 49,90 alpz/1.0 pz"
218,Hisense H06AFBS1S3 friggitrice Singolo 5 L 1700 W Friggitrice ad aria calda Nero,"€ 129,00 alpz/1.0 pz"
219,"Ariete 4615 Airy Fryer Mini, Friggitrice ad Aria, 1000 Watt, 2 litri, Max Temperatura 200° C, Ricettario, Bianco/Giallo","€ 44,90 alpz/1.0 pz"
220,"Krups Mini Me KP123B Macchina da caffè con capsule compatta ed automatica, oltre 30 Tipologie di Caffè","€ 99,90 alpz/1.0 pz"
221,Mandine Piano cottura a induzione - MIC2101-17 2000W,"€ 50,90 alpz/1.0 pz"
222,Mandine MSM1000R-22 robot da cucina 1000 W 5 L Rosso,"€ 99,90 alpz/1.0 pz"
223,Humana 1 Latte per lattanti 470 ml,"€ 6,36 all/470.0 ml"
224,Aptamil Nutribiotik 2 Latte di Proseguimento 500 ml,"€ 3,78 all/500.0 ml"
225,Aptamil Nutribiotik 1 Latte per Lattanti 500 ml,"€ 4,90 all/500.0 ml"
226,Mellin 100% Frutta Mista con Vitamina C 90 g,"€ 8,78 alkg/90.0 g"
227,"Plasmon Spremi, Gusta e Riciclami 100% Pera 100 g","€ 9,50 alkg/100.0 g"
228,Plasmon 100% Frutta Mela 100 g,"€ 9,50 alkg/100.0 g"
229,Humana Probalance 2 Latte di proseguimento 470 ml,"€ 4,47 all/470.0 ml"
230,Mellin 100% Frutta con Carota e Vitamina C Fragola e Kiwi 90 g,"€ 8,78 alkg/90.0 g"
231,Plasmon il Biscotto 720 g,"€ 9,71 alkg/720.0 g"
232,"Plasmon Spremi, Gusta e Riciclami 100% Mela e Mirtillo 100 g","€ 9,50 alkg/100.0 g"
233,Mellin Vitello 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
234,Mellin Manzo 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
235,Pampers Baby-dry Fresh Salviette 70 pz,"€ 0,03 alpz/70.0 pz"
236,Mellin Pollo 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
237,Fresh & Clean baby comfort Salviettine 72 pz,"€ 0,05 alpz/72.0 pz"
238,Mellin Coniglio 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
239,APTAMIL Nutribiotik 3 Latte di Crescita 1L,"€ 1,89 all/1000.0 ml"
240,Mellin Pera 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
241,Mellin Prosciutto* 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
242,Mellin Tacchino 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
243,Mellin Frutta Mista 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
244,NESTLÉ NIDINA Optipro 1 dalla nascita Latte per lattanti in liquido brick da 500ml,"€ 5,30 all/500.0 ml"
245,Mellin Verdure Miste 100% Naturale Omogeneizzato 2 x 80 g,"€ 8,69 alkg/160.0 g"
246,Humana Probalance Piccoli Eroi 3 Latte di crescita 470 ml,"€ 3,09 all/470.0 ml"
247,Mellin 100% Pera con Vitamina C 90 g,"€ 8,78 alkg/90.0 g"
248,Mellin 100% Mela con Vitamina C 90 g,"€ 8,78 alkg/90.0 g"
249,Mellin Agnello 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
250,Mellin Primo Sugo Ragù di Vitello 2 x 80 g,"€ 11,19 alkg/160.0 g"
251,Mellin Mela Albicocca 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
252,Plasmon la Pastina maccheroncini 340 g,"€ 5,26 alkg/340.0 g"
253,Plasmon la Pastina Stelline 340 g,"€ 5,26 alkg/340.0 g"
254,Plasmon il Biscotto 320 g,"€ 11,22 alkg/320.0 g"
255,Mellin Mela 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
256,Mellin Cavallo e Patate 100% Naturale Omogeneizzato 2 x 80 g,"€ 13,69 alkg/160.0 g"
257,Plasmon la Merenda dei bambini Latte e Biscotto 2 x 120 g,"€ 7,08 alkg/240.0 g"
258,NESTLÉ MIO Merenda al Latte Cereali da 6 mesi 4 vasetti da 100 g,"€ 6,13 alkg/400.0 g"
259,Plasmon Prugna Omogeneizzato 2 x 104 g,"€ 7,93 alkg/208.0 g"
260,Pampers Sole e Luna Salviette 60 pz,"€ 0,03 alpz/60.0 pz"
261,Mellin Pesca con Mela 100% Naturale Omogeneizzato 2 x 100 g,"€ 6,45 alkg/200.0 g"
262,MELLIN 3 - Latte di Crescita Liquido per Bambini da 1 a 2 anni 1L,"€ 2,30 all/1000.0 ml"
263,"Mellin Pappa Completa Verdure, Semolino e Pollo 2 x 200 g","€ 7,73 alkg/400.0 g"
264,Plasmon Omogeneizzato Orata con patate 2 x 80 g,"€ 15,56 alkg/160.0 g"
